ExternalId;Geometry;X;Y;Street;OrientationNumber;Address;Type;District;DistrictTwo;LegalArea;HousingCount
24070;POINT (21.25451386 48.75656804);21.25451386;48.75656804;Ťahanovská;10A;Ťahanovská 10A;Rodinný dom;Košice-Ťahanovce;Ťahanovce;Ťahanovce;1.0
24081;POINT (21.2546428 48.7547107);21.2546428;48.7547107;Na Sihoti;23;Na Sihoti 23;Rodinný dom;Košice-Ťahanovce;Ťahanovce;Ťahanovce;1.0
24072;POINT (21.2541054 48.7567317);21.2541054;48.7567317;Ťahanovská;6D;Ťahanovská 6D;Rodinný dom;Košice-Ťahanovce;Ťahanovce;Ťahanovce;1.0
24073;POINT (21.2550187 48.7555545);21.2550187;48.7555545;Repná;3;Repná 3;Rodinný dom;Košice-Ťahanovce;Ťahanovce;Ťahanovce;1.0
29728;POINT (21.2766425 48.7231181);21.2766425;48.7231181;Šarišská;8;Šarišská 8;Rodinný dom;Košice-Vyšné Opátske;Vyšné Opátske;Nižná Úvrať;1.0
24077;POINT (21.2555140807377 48.7555080478479);21.2555140807377;48.7555080478479;Magnezitárska;39;Magnezitárska 39;Rodinný dom;Košice-Ťahanovce;Ťahanovce;Ťahanovce;1.0
24079;POINT (21.2556050629556 48.7554211038646);21.2556050629556;48.7554211038646;Magnezitárska;37;Magnezitárska 37;Rodinný dom;Košice-Ťahanovce;Ťahanovce;Ťahanovce;1.0
29724;POINT (21.2765291 48.7227343);21.2765291;48.7227343;Nevädzová;5;Nevädzová 5;Rodinný dom;Košice-Vyšné Opátske;Vyšné Opátske;Nižná Úvrať;1.0
24080;POINT (21.2545189 48.754864);21.2545189;48.754864;Na Sihoti;22;Na Sihoti 22;Rodinný dom;Košice-Ťahanovce;Ťahanovce;Ťahanovce;1.0
24106;POINT (21.259373 48.7551653);21.259373;48.7551653;Želiarska;16;Želiarska 16;Rodinný dom;Košice-Ťahanovce;Ťahanovce;Ťahanovce;1.0
23972;POINT (21.2027463 48.7159777);21.2027463;48.7159777;Na Kope X;30;Na Kope X 30;Rodinný dom;Košice-Myslava;Myslava;Myslava;1.0
29707;POINT (21.2774342 48.7226353);21.2774342;48.7226353;Nevädzová;14A;Nevädzová 14A;Rodinný dom;Košice-Vyšné Opátske;Vyšné Opátske;Nižná Úvrať;1.0
24129;POINT (21.2615476 48.7564769);21.2615476;48.7564769;Želiarska;59;Želiarska 59;Rodinný dom;Košice-Ťahanovce;Ťahanovce;Ťahanovce;1.0
24130;POINT (21.2614398 48.7562538);21.2614398;48.7562538;Želiarska;55;Želiarska 55;Rodinný dom;Košice-Ťahanovce;Ťahanovce;Ťahanovce;1.0
29709;POINT (21.2776096 48.7226252);21.2776096;48.7226252;Nevädzová;14;Nevädzová 14;Rodinný dom;Košice-Vyšné Opátske;Vyšné Opátske;Nižná Úvrať;1.0
24131;POINT (21.2604405 48.7570307);21.2604405;48.7570307;Repná;58;Repná 58;Rodinný dom;Košice-Ťahanovce;Ťahanovce;Ťahanovce;1.0
3201;POINT (21.2553362062672 48.7165224478925);21.2553362062672;48.7165224478925;Štúrova;17;Štúrova 17;Bytový dom;Košice-Staré Mesto;Staré Mesto;Stredné Mesto;2.0
24137;POINT (21.260112 48.756957);21.260112;48.756957;Repná;54;Repná 54;Rodinný dom;Košice-Ťahanovce;Ťahanovce;Ťahanovce;1.0
24139;POINT (21.2609959 48.7560531);21.2609959;48.7560531;Želiarska;49;Želiarska 49;Rodinný dom;Košice-Ťahanovce;Ťahanovce;Ťahanovce;1.0
